type,timestamp,price,quantity,cost,balance,revenue,profit,profit_pct
BUY,2025-07-16 17:49:00,703.07,0.06663472847157605,46.89572742505748,2.418881571269857,,,
SELL,2025-07-16 18:35:00,710.74,0.06663472847157605,,49.73148851824393,47.31260694697407,0.5110883673769856,1.0909297793960713
BUY,2025-07-16 18:36:00,710.55,0.06649062570168424,47.29215900642406,2.439329511819871,,,
SELL,2025-07-16 18:48:00,708.01,0.06649062570168424,,49.468281386966275,47.028951875146404,-0.16888618928227553,-0.3574695658292821
BUY,2025-07-16 19:05:00,707.82,0.0663938110220366,47.04186218493557,2.426419202030708,,,
SELL,2025-07-16 19:12:00,706.09,0.0663938110220366,,49.259545220555985,46.83312601852528,-0.11486129306812454,-0.24441242123704024
BUY,2025-07-16 19:24:00,708.06,0.06609124644737478,46.84336452748771,2.416180693068277,,,
SELL,2025-07-16 19:35:00,706.25,0.06609124644737478,,49.04644655372326,46.63026586065498,-0.11962515606974475,-0.2556280541196997
BUY,2025-07-16 19:50:00,706.19,0.06597958655041433,46.640718350263136,2.4057282034601215,,,
SELL,2025-07-16 19:52:00,705.18,0.06597958655041433,,48.88668556223767,46.48095735877755,-0.06663938241592537,-0.1430210000141753
BUY,2025-07-16 20:03:00,708.92,0.0655114135362605,46.48879363540991,2.3978919268277608,,,
SELL,2025-07-16 20:53:00,712.35,0.0655114135362605,,49.01828030395037,46.62038837712261,0.2247041484293777,0.4838345652541985
BUY,2025-07-16 21:03:00,714.4,0.06518388338291273,46.6139336550416,2.4043466489087706,,,
SELL,2025-07-16 21:19:00,713.18,0.06518388338291273,,48.84570075798344,46.441354109074666,-0.07952433772715531,-0.17077267637178434
BUY,2025-07-16 21:27:00,714.73,0.06492439903192011,46.44981913580434,2.395881622179097,,,
SELL,2025-07-16 21:37:00,711.39,0.06492439903192011,,48.53626328126943,46.14038165909033,-0.21684749276661525,-0.46730933359450866
BUY,2025-07-16 21:52:00,713.86,0.06459172683328097,46.15555956732316,2.380703713946268,,,
SELL,2025-07-16 22:29:00,714.12,0.06459172683328097,,48.46082143616269,46.08011772221642,0.016793848976652467,0.03642170733757192
BUY,2025-07-16 22:38:00,713.67,0.06450849883609308,46.0838181447189,2.377003291443792,,,
